Product_ID,Category,Sub_Category,Product_Name,Cost_Price,List_Price
PR-00052,Furniture,Furnishings,Wireless Executive Chair #61,475.66,726.66
PR-00053,Furniture,Chairs,Wireless Executive Chair #62,35.17,56.8
PR-00054,Technology,Accessories,Classic Monitor Pro v63,700.35,966.0
PR-00055,Furniture,Tables,Premium LED Lamp #64,347.05,553.86
PR-00056,Office Supplies,Envelopes,Classic Heavy Binder - Pack of 17,25.26,36.47
PR-00057,Office Supplies,Binders,Compact Gel Pen Set - Pack of 12,27.3,48.04
PR-00058,Furniture,Bookcases,Compact LED Lamp #67,64.64,87.45
PR-00059,Office Supplies,Art,Ergonomic Storage Box - Pack of 4,39.87,71.25
PR-00060,Furniture,Bookcases,Compact Pine Bookcase #69,279.02,488.05
PR-00061,Furniture,Tables,Premium File Cabinet #70,142.9,253.39
PR-00062,Technology,Phones,Deluxe Monitor Pro v71,402.26,593.2
PR-00063,Office Supplies,Storage,Wireless Metal Clips - Pack of 16,85.31,117.23
PR-00064,Office Supplies,Art,Modern Bubble Envelopes - Pack of 5,66.82,128.17
PR-00065,Office Supplies,Binders,Premium Notebook 5-Pack - Pack of 14,34.87,46.56
PR-00066,Furniture,Furnishings,Ergonomic Executive Chair #75,451.32,757.94
PR-00067,Office Supplies,Binders,Wireless Bubble Envelopes - Pack of 17,37.12,70.08
PR-00068,Technology,Accessories,Compact Keyboard Duo v77,118.27,154.44
PR-00069,Office Supplies,Art,Classic Storage Box - Pack of 16,80.33,109.17
PR-00070,Furniture,Bookcases,Wireless Pine Bookcase #79,397.76,659.85
PR-00071,Furniture,Furnishings,Classic Oak Desk #80,133.13,224.03
PR-00072,Office Supplies,Binders,Premium Metal Clips - Pack of 16,64.84,88.44
PR-00073,Office Supplies,Storage,Classic Bubble Envelopes - Pack of 6,3.21,4.73
PR-00074,Technology,Copiers,Deluxe LaserJet 500 v83,215.87,290.08
PR-00075,Office Supplies,Fasteners,Deluxe Bubble Envelopes - Pack of 17,55.39,98.1
PR-00076,Technology,Copiers,Ergonomic 3D Scanner v85,611.79,1140.11
PR-00077,Office Supplies,Art,Ergonomic Gel Pen Set - Pack of 7,26.93,49.84
PR-00078,Office Supplies,Paper,Modern Heavy Binder - Pack of 15,24.3,48.39
PR-00079,Office Supplies,Binders,Classic Air Purifier - Pack of 18,39.62,57.23
PR-00080,Office Supplies,Storage,Classic Gel Pen Set - Pack of 3,34.42,66.32
PR-00081,Furniture,Chairs,Compact Oak Desk #90,423.18,739.11
PR-00082,Technology,Machines,Pro-Series Power Pack v91,346.51,607.96
PR-00083,Office Supplies,Storage,Wireless Notebook 5-Pack - Pack of 14,38.91,64.2
PR-00084,Furniture,Furnishings,Compact LED Lamp #93,295.6,468.63
PR-00085,Furniture,Furnishings,Compact Oak Desk #94,77.43,142.09
PR-00086,Furniture,Chairs,Pro-Series Executive Chair #95,147.11,207.67
PR-00087,Technology,Accessories,Ergonomic Monitor Pro v96,681.5,1242.2
PR-00088,Office Supplies,Envelopes,Pro-Series Notebook 5-Pack - Pack of 5,62.29,85.79
PR-00089,Technology,Machines,Heavy-Duty SmartPhone X v98,217.47,361.11
PR-00090,Office Supplies,Appliances,Modern Notebook 5-Pack - Pack of 14,67.34,91.15
PR-00091,Furniture,Bookcases,Pro-Series LED Lamp #100,127.23,237.48
PR-00092,Technology,Accessories,Heavy-Duty Storage SSD v101,287.46,475.44
PR-00093,Furniture,Chairs,Compact Pine Bookcase #102,173.37,335.04
PR-00094,Technology,Phones,Compact Monitor Pro v103,387.1,555.76
PR-00095,Furniture,Tables,Ergonomic File Cabinet #104,427.97,659.65
PR-00096,Office Supplies,Paper,Pro-Series Air Purifier - Pack of 14,3.17,4.78
PR-00097,Technology,Machines,Heavy-Duty Monitor Pro v106,514.95,752.2
PR-00098,Office Supplies,Paper,Pro-Series Bubble Envelopes - Pack of 13,67.18,127.92
PR-00099,Technology,Accessories,Premium Router Hub v108,248.85,417.81
PR-00100,Technology,Copiers,Wireless Keyboard Duo v109,540.72,1036.65
PR-00101,Office Supplies,Envelopes,Classic Gel Pen Set - Pack of 12,11.27,16.41
PR-00102,Furniture,Tables,Ergonomic File Cabinet #111,105.12,154.59
PR-00103,Technology,Copiers,Classic Power Pack v112,552.09,938.74
PR-00104,Furniture,Chairs,Wireless Drafting Table #113,223.02,374.37
PR-00105,Furniture,Tables,Ergonomic Office Sofa #114,107.26,176.99
PR-00106,Office Supplies,Fasteners,Premium Metal Clips - Pack of 8,52.64,69.25
PR-00107,Furniture,Furnishings,Pro-Series Oak Desk #116,471.2,781.53
PR-00108,Office Supplies,Paper,Heavy-Duty Metal Clips - Pack of 2,61.74,113.67
PR-00109,Office Supplies,Paper,Ergonomic Air Purifier - Pack of 12,55.8,106.03
PR-00110,Furniture,Furnishings,Compact LED Lamp #119,351.59,674.03
PR-00111,Office Supplies,Paper,Classic Bubble Envelopes - Pack of 17,49.14,92.64
PR-00112,Furniture,Chairs,Classic Drafting Table #121,248.29,380.76
PR-00113,Office Supplies,Fasteners,Classic Metal Clips - Pack of 16,46.93,87.97
PR-00114,Technology,Copiers,Classic Storage SSD v123,58.96,93.56
PR-00115,Office Supplies,Binders,Modern Bubble Envelopes - Pack of 7,81.36,117.36
PR-00116,Furniture,Furnishings,Eco-Friendly Executive Chair #125,111.78,203.46
PR-00117,Furniture,Chairs,Compact Drafting Table #126,63.35,99.01
PR-00118,Office Supplies,Storage,Ergonomic Heavy Binder - Pack of 4,89.75,151.8
PR-00119,Office Supplies,Fasteners,Heavy-Duty Bubble Envelopes - Pack of 5,66.17,114.2
PR-00120,Technology,Copiers,Deluxe Router Hub v129,297.55,396.25
PR-00121,Technology,Machines,Deluxe Monitor Pro v130,374.27,487.94
PR-00122,Office Supplies,Envelopes,Classic Gel Pen Set - Pack of 6,6.28,10.72
PR-00123,Office Supplies,Appliances,Eco-Friendly Notebook 5-Pack - Pack of 4,32.82,58.23
PR-00124,Office Supplies,Appliances,Heavy-Duty Storage Box - Pack of 10,20.24,36.42
PR-00125,Office Supplies,Envelopes,Premium Air Purifier - Pack of 4,80.36,146.66
PR-00126,Office Supplies,Appliances,Pro-Series Metal Clips - Pack of 11,59.56,114.5
PR-00127,Office Supplies,Storage,Compact Heavy Binder - Pack of 9,43.71,78.74
PR-00128,Furniture,Chairs,Wireless LED Lamp #137,126.71,202.41
PR-00129,Technology,Copiers,Deluxe Keyboard Duo v138,175.91,238.16
PR-00130,Office Supplies,Storage,Premium Bubble Envelopes - Pack of 7,41.06,66.33
PR-00131,Office Supplies,Paper,Premium Bubble Envelopes - Pack of 14,25.24,49.4
PR-00132,Technology,Machines,Eco-Friendly Power Pack v141,177.92,317.81
PR-00133,Furniture,Tables,Eco-Friendly Drafting Table #142,58.41,107.69
PR-00134,Office Supplies,Envelopes,Pro-Series Storage Box - Pack of 13,18.52,25.22
PR-00135,Furniture,Chairs,Compact File Cabinet #144,224.56,296.82
PR-00136,Furniture,Chairs,Pro-Series LED Lamp #145,425.63,625.84
PR-00137,Furniture,Furnishings,Classic File Cabinet #146,416.15,769.31
PR-00138,Technology,Copiers,Heavy-Duty Storage SSD v147,394.51,716.18
PR-00139,Furniture,Chairs,Premium File Cabinet #148,401.44,759.29
PR-00140,Furniture,Chairs,Eco-Friendly LED Lamp #149,60.27,82.36
PR-00141,Technology,Copiers,Wireless LaserJet 500 v150,675.49,1257.05
PR-00142,Office Supplies,Appliances,Premium Heavy Binder - Pack of 12,42.99,73.07
PR-00143,Furniture,Bookcases,Pro-Series Pine Bookcase #152,412.13,652.9
PR-00144,Office Supplies,Fasteners,Deluxe Notebook 5-Pack - Pack of 5,3.27,6.0
PR-00145,Office Supplies,Envelopes,Ergonomic Heavy Binder - Pack of 17,75.67,131.19
PR-00146,Technology,Phones,Classic 3D Scanner v155,629.17,1076.42
PR-00147,Office Supplies,Appliances,Deluxe Gel Pen Set - Pack of 12,58.17,105.47
PR-00148,Furniture,Chairs,Modern Pine Bookcase #157,132.99,228.45
PR-00149,Office Supplies,Fasteners,Pro-Series Heavy Binder - Pack of 13,34.69,60.12
PR-00150,Technology,Accessories,Eco-Friendly Router Hub v159,485.17,903.92
PR-00151,Office Supplies,Paper,Deluxe Heavy Binder - Pack of 19,46.35,91.05
PR-00152,Office Supplies,Envelopes,Heavy-Duty Notebook 5-Pack - Pack of 10,83.4,145.3
PR-00153,Furniture,Tables,Heavy-Duty LED Lamp #162,153.88,216.87
PR-00154,Technology,Phones,Compact Keyboard Duo v163,170.17,305.22
PR-00155,Office Supplies,Envelopes,Deluxe Storage Box - Pack of 19,41.86,82.22
PR-00156,Office Supplies,Paper,Modern Bubble Envelopes - Pack of 7,55.65,99.6
PR-00157,Furniture,Bookcases,Deluxe Office Sofa #166,317.56,624.79
PR-00158,Office Supplies,Paper,Wireless Heavy Binder - Pack of 9,26.38,51.31
PR-00159,Furniture,Furnishings,Modern Office Sofa #168,189.72,253.54
PR-00160,Office Supplies,Binders,Eco-Friendly Air Purifier - Pack of 17,9.44,16.28
PR-00161,Technology,Accessories,Modern Storage SSD v170,491.56,711.71
PR-00162,Office Supplies,Art,Classic Heavy Binder - Pack of 6,66.89,100.37
PR-00163,Furniture,Tables,Classic Drafting Table #172,341.05,587.33
PR-00164,Furniture,Bookcases,Heavy-Duty Office Sofa #173,379.16,526.86
PR-00165,Technology,Copiers,Wireless Router Hub v174,315.29,557.6
PR-00166,Technology,Phones,Deluxe Power Pack v175,107.02,168.01
PR-00167,Furniture,Furnishings,Deluxe File Cabinet #176,105.65,172.47
PR-00168,Furniture,Furnishings,Pro-Series LED Lamp #177,75.44,106.92
PR-00169,Office Supplies,Art,Modern Storage Box - Pack of 9,88.71,125.63
PR-00170,Technology,Copiers,Modern 3D Scanner v179,268.59,405.45
PR-00171,Furniture,Tables,Eco-Friendly Office Sofa #180,145.41,225.2
PR-00172,Furniture,Tables,Compact Drafting Table #181,394.06,552.81
PR-00173,Technology,Machines,Deluxe Power Pack v182,153.8,208.85
PR-00174,Technology,Copiers,Pro-Series Storage SSD v183,523.47,906.68
PR-00175,Furniture,Tables,Modern Pine Bookcase #184,381.25,576.65
PR-00176,Furniture,Furnishings,Premium Executive Chair #185,153.14,251.38
PR-00177,Furniture,Bookcases,Heavy-Duty Oak Desk #186,472.91,745.78
PR-00178,Furniture,Chairs,Classic Oak Desk #187,218.37,353.96
PR-00179,Office Supplies,Art,Wireless Air Purifier - Pack of 16,89.28,157.57
PR-00180,Technology,Copiers,Classic Storage SSD v189,134.66,228.09
PR-00181,Furniture,Furnishings,Classic Drafting Table #190,37.12,61.84
PR-00182,Office Supplies,Storage,Heavy-Duty Notebook 5-Pack - Pack of 4,44.52,84.0
PR-00183,Furniture,Furnishings,Eco-Friendly Pine Bookcase #192,213.06,325.93
PR-00184,Office Supplies,Paper,Premium Notebook 5-Pack - Pack of 6,47.22,91.24
PR-00185,Furniture,Tables,Wireless File Cabinet #194,285.48,486.89
PR-00186,Office Supplies,Envelopes,Modern Notebook 5-Pack - Pack of 14,37.44,74.1
PR-00187,Office Supplies,Art,Pro-Series Bubble Envelopes - Pack of 4,14.43,24.53
PR-00188,Furniture,Furnishings,Compact Office Sofa #197,250.84,397.48
PR-00189,Office Supplies,Fasteners,Classic Bubble Envelopes - Pack of 15,87.35,148.48
PR-00190,Technology,Machines,Premium LaserJet 500 v199,584.48,910.14
PR-00191,Technology,Copiers,Eco-Friendly SmartPhone X v200,434.06,666.87
PR-00192,Office Supplies,Envelopes,Wireless Storage Box - Pack of 8,21.4,31.09
PR-00193,Office Supplies,Envelopes,Wireless Gel Pen Set - Pack of 18,25.17,32.73
PR-00194,Technology,Machines,Eco-Friendly SmartPhone X v203,302.28,442.07
PR-00195,Furniture,Chairs,Wireless Oak Desk #204,188.05,256.81
PR-00196,Technology,Copiers,Modern LaserJet 500 v205,76.84,115.57
PR-00197,Furniture,Tables,Pro-Series Executive Chair #206,383.62,657.13
PR-00198,Office Supplies,Storage,Deluxe Bubble Envelopes - Pack of 19,68.93,97.06
PR-00199,Furniture,Bookcases,Deluxe Office Sofa #208,298.61,597.13
PR-00200,Furniture,Tables,Pro-Series File Cabinet #209,402.4,571.21
PR-00201,Furniture,Chairs,Ergonomic LED Lamp #210,50.45,88.42
PR-00202,Technology,Copiers,Pro-Series Power Pack v211,660.11,1093.73
PR-00203,Furniture,Furnishings,Eco-Friendly Executive Chair #212,45.71,77.06
PR-00204,Office Supplies,Fasteners,Deluxe Notebook 5-Pack - Pack of 16,89.68,166.55
PR-00205,Office Supplies,Storage,Classic Heavy Binder - Pack of 13,65.76,90.62
PR-00206,Office Supplies,Paper,Ergonomic Heavy Binder - Pack of 8,55.75,80.27
PR-00207,Technology,Copiers,Wireless Monitor Pro v216,486.52,704.26
PR-00208,Office Supplies,Appliances,Compact Bubble Envelopes - Pack of 19,51.79,101.01
PR-00209,Office Supplies,Fasteners,Compact Notebook 5-Pack - Pack of 18,3.69,6.93
PR-00210,Office Supplies,Art,Pro-Series Heavy Binder - Pack of 3,38.84,58.44
PR-00211,Furniture,Bookcases,Premium File Cabinet #220,48.67,84.98
PR-00212,Furniture,Bookcases,Compact Drafting Table #221,116.54,175.62
PR-00213,Furniture,Chairs,Wireless Executive Chair #222,428.18,778.15
PR-00214,Technology,Copiers,Wireless Storage SSD v223,277.65,449.5
PR-00215,Technology,Phones,Ergonomic Keyboard Duo v224,523.18,908.18
PR-00216,Technology,Machines,Premium Keyboard Duo v225,277.78,376.46
PR-00217,Furniture,Tables,Modern Oak Desk #226,476.26,799.5
PR-00218,Office Supplies,Storage,Modern Storage Box - Pack of 15,19.47,27.56
PR-00219,Furniture,Chairs,Wireless File Cabinet #228,231.02,381.43
PR-00220,Technology,Accessories,Modern Keyboard Duo v229,493.48,901.01
PR-00221,Office Supplies,Art,Wireless Heavy Binder - Pack of 17,81.58,152.73
PR-00222,Office Supplies,Paper,Pro-Series Storage Box - Pack of 16,2.61,3.78
PR-00223,Office Supplies,Binders,Heavy-Duty Storage Box - Pack of 17,77.34,119.86
PR-00224,Office Supplies,Envelopes,Deluxe Bubble Envelopes - Pack of 4,11.42,18.36
PR-00225,Furniture,Tables,Eco-Friendly File Cabinet #234,301.71,574.51
PR-00226,Office Supplies,Appliances,Compact Metal Clips - Pack of 16,66.67,111.47
PR-00227,Technology,Accessories,Classic Monitor Pro v236,250.96,430.96
PR-00228,Furniture,Furnishings,Premium Pine Bookcase #237,82.46,138.75
PR-00229,Technology,Machines,Deluxe Monitor Pro v238,196.0,256.88
PR-00230,Technology,Machines,Ergonomic Storage SSD v239,634.92,1057.9
PR-00231,Technology,Accessories,Modern Power Pack v240,425.59,834.1
PR-00232,Office Supplies,Art,Pro-Series Air Purifier - Pack of 6,72.49,99.54
PR-00233,Office Supplies,Art,Classic Heavy Binder - Pack of 17,88.29,128.05
PR-00234,Office Supplies,Binders,Heavy-Duty Gel Pen Set - Pack of 14,67.02,88.65
PR-00235,Technology,Copiers,Compact 3D Scanner v244,551.27,933.23
PR-00236,Office Supplies,Binders,Wireless Metal Clips - Pack of 16,71.83,94.98
PR-00237,Office Supplies,Binders,Premium Air Purifier - Pack of 9,6.43,8.6
PR-00238,Furniture,Chairs,Wireless File Cabinet #247,306.29,452.39
PR-00239,Office Supplies,Binders,Compact Heavy Binder - Pack of 14,74.47,139.59
PR-00240,Furniture,Furnishings,Premium File Cabinet #249,193.15,360.03
PR-00241,Furniture,Tables,Compact Pine Bookcase #250,100.22,188.84
PR-00242,Office Supplies,Fasteners,Compact Metal Clips - Pack of 14,18.08,25.27
PR-00243,Furniture,Chairs,Compact Office Sofa #252,154.09,222.35
PR-00244,Furniture,Tables,Deluxe Oak Desk #253,64.46,102.78
PR-00245,Office Supplies,Envelopes,Compact Heavy Binder - Pack of 19,43.85,69.52
PR-00246,Office Supplies,Binders,Heavy-Duty Storage Box - Pack of 16,31.23,60.89
PR-00247,Technology,Copiers,Ergonomic SmartPhone X v256,568.29,756.3
PR-00248,Technology,Copiers,Wireless Storage SSD v257,287.63,484.79
PR-00249,Technology,Machines,Premium Power Pack v258,595.83,1029.76
PR-00250,Office Supplies,Art,Eco-Friendly Metal Clips - Pack of 7,86.68,139.63
PR-00251,Furniture,Tables,Eco-Friendly Pine Bookcase #260,272.0,406.55
PR-00252,Technology,Machines,Wireless 3D Scanner v261,604.29,803.31
PR-00253,Office Supplies,Appliances,Modern Air Purifier - Pack of 12,64.49,88.16
PR-00254,Furniture,Bookcases,Modern Drafting Table #263,461.15,670.66
PR-00255,Technology,Machines,Classic Storage SSD v264,361.29,565.68
PR-00256,Furniture,Bookcases,Deluxe Office Sofa #265,71.12,108.13
PR-00257,Office Supplies,Appliances,Heavy-Duty Metal Clips - Pack of 7,39.7,71.94
PR-00258,Technology,Machines,Eco-Friendly Monitor Pro v267,615.93,986.67
PR-00259,Furniture,Bookcases,Modern Oak Desk #268,255.21,409.26
PR-00260,Office Supplies,Paper,Modern Heavy Binder - Pack of 4,29.15,49.59
PR-00261,Furniture,Tables,Eco-Friendly Drafting Table #270,32.87,65.24
PR-00262,Furniture,Furnishings,Compact File Cabinet #271,135.25,195.79
PR-00263,Furniture,Bookcases,Heavy-Duty Pine Bookcase #272,456.04,720.61
PR-00264,Technology,Phones,Heavy-Duty Router Hub v273,713.52,940.45
PR-00265,Technology,Phones,Classic Power Pack v274,338.76,512.59
PR-00266,Furniture,Tables,Eco-Friendly Drafting Table #275,310.24,451.67
PR-00267,Technology,Accessories,Modern Storage SSD v276,570.11,793.22
PR-00268,Technology,Copiers,Classic Router Hub v277,557.38,1074.95
PR-00269,Office Supplies,Binders,Classic Bubble Envelopes - Pack of 4,31.97,59.58
PR-00270,Office Supplies,Storage,Pro-Series Metal Clips - Pack of 14,31.53,42.68
PR-00271,Office Supplies,Envelopes,Deluxe Storage Box - Pack of 11,13.92,20.35
PR-00272,Office Supplies,Binders,Premium Heavy Binder - Pack of 19,6.45,8.56
PR-00273,Technology,Copiers,Compact SmartPhone X v282,69.2,118.21
PR-00274,Office Supplies,Storage,Wireless Storage Box - Pack of 14,29.61,43.63
PR-00275,Technology,Machines,Modern Power Pack v284,702.45,1180.78
PR-00276,Office Supplies,Envelopes,Modern Storage Box - Pack of 13,34.98,58.94
PR-00277,Office Supplies,Appliances,Premium Storage Box - Pack of 9,75.25,140.26
PR-00278,Office Supplies,Appliances,Compact Metal Clips - Pack of 16,9.91,14.22
PR-00279,Office Supplies,Storage,Wireless Air Purifier - Pack of 14,27.28,40.81
PR-00280,Office Supplies,Storage,Ergonomic Air Purifier - Pack of 5,45.34,72.97
PR-00281,Furniture,Bookcases,Wireless Office Sofa #290,268.47,379.34
PR-00282,Furniture,Furnishings,Eco-Friendly Executive Chair #291,163.38,316.56
PR-00283,Office Supplies,Fasteners,Deluxe Metal Clips - Pack of 5,32.5,51.53
PR-00284,Technology,Accessories,Compact Monitor Pro v293,312.58,558.9
PR-00285,Office Supplies,Storage,Eco-Friendly Notebook 5-Pack - Pack of 8,79.98,154.12
PR-00286,Office Supplies,Art,Classic Storage Box - Pack of 10,38.19,56.08
PR-00287,Technology,Machines,Eco-Friendly Power Pack v296,602.31,950.38
PR-00288,Office Supplies,Fasteners,Eco-Friendly Metal Clips - Pack of 13,49.09,66.64
PR-00289,Office Supplies,Binders,Heavy-Duty Storage Box - Pack of 11,4.64,7.48
PR-00290,Office Supplies,Fasteners,Pro-Series Metal Clips - Pack of 3,32.96,60.42
PR-00291,Office Supplies,Art,Modern Notebook 5-Pack - Pack of 17,38.18,61.06
PR-00292,Furniture,Furnishings,Modern Executive Chair #301,120.69,235.84
PR-00293,Office Supplies,Art,Wireless Air Purifier - Pack of 19,50.94,94.02
PR-00294,Office Supplies,Storage,Premium Air Purifier - Pack of 11,5.53,10.63
PR-00295,Technology,Copiers,Ergonomic Keyboard Duo v304,219.53,418.4
PR-00296,Furniture,Bookcases,Ergonomic LED Lamp #305,470.62,833.79
PR-00297,Office Supplies,Art,Deluxe Notebook 5-Pack - Pack of 17,61.53,105.58
PR-00298,Technology,Accessories,Compact 3D Scanner v307,435.49,696.93
PR-00299,Office Supplies,Paper,Wireless Notebook 5-Pack - Pack of 14,3.62,5.88
PR-00300,Office Supplies,Paper,Compact Metal Clips - Pack of 19,59.4,87.66
