Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Product_ID,Sales,Quantity,Discount,Profit,Shipping_Cost,Order_Priority
19,CA-2023-100013,2023-01-04,2023-01-11,Standard Class,CS-00549,PR-00177,2684.81,4,0.1,747.42,45.75,High
20,CA-2023-100012,2023-01-04,2023-01-10,Standard Class,CS-00606,PR-00016,233.19,1,0.3,4.91,7.22,Medium
21,CA-2023-100013,2023-01-04,2023-01-11,Standard Class,CS-00549,PR-00085,568.36,4,0.0,243.54,15.1,High
22,CA-2023-100011,2023-01-04,2023-01-08,Second Class,CS-00205,PR-00220,810.91,1,0.1,291.49,25.94,Medium
23,CA-2023-100011,2023-01-04,2023-01-08,Second Class,CS-00205,PR-00121,2927.64,6,0.0,635.35,46.67,Medium
24,CA-2023-100010,2023-01-04,2023-01-09,Standard Class,CS-00016,PR-00288,66.64,1,0.0,14.35,3.2,Low
25,CA-2023-100012,2023-01-04,2023-01-10,Standard Class,CS-00606,PR-00215,908.18,1,0.0,362.52,22.48,Medium
26,CA-2023-100014,2023-01-05,2023-01-09,Second Class,CS-00249,PR-00031,175.71,3,0.0,43.7,7.51,Critical
27,CA-2023-100014,2023-01-05,2023-01-09,Second Class,CS-00249,PR-00235,1866.46,2,0.0,738.59,25.33,Critical
28,CA-2023-100014,2023-01-05,2023-01-09,Second Class,CS-00249,PR-00186,74.1,1,0.0,30.31,6.35,Critical
29,CA-2023-100014,2023-01-05,2023-01-09,Second Class,CS-00249,PR-00105,353.98,4,0.5,-90.45,15.39,Critical
30,CA-2023-100015,2023-01-06,2023-01-09,Standard Class,CS-00032,PR-00178,955.69,3,0.1,283.68,16.9,High
31,CA-2023-100016,2023-01-06,2023-01-06,Same Day,CS-00054,PR-00112,609.22,2,0.2,84.87,27.77,Low
32,CA-2023-100016,2023-01-06,2023-01-06,Same Day,CS-00054,PR-00274,130.89,3,0.0,25.46,16.6,Low
33,CA-2023-100020,2023-01-07,2023-01-13,Standard Class,CS-00354,PR-00207,1478.95,3,0.3,-23.8,43.19,Low
34,CA-2023-100019,2023-01-07,2023-01-10,Standard Class,CS-00050,PR-00200,571.21,1,0.0,159.99,8.82,Medium
35,CA-2023-100018,2023-01-07,2023-01-11,Standard Class,CS-00442,PR-00065,139.68,3,0.0,30.69,4.38,High
36,CA-2023-100017,2023-01-07,2023-01-14,Standard Class,CS-00255,PR-00136,563.26,1,0.1,126.62,11.01,Medium
37,CA-2023-100021,2023-01-08,2023-01-11,Standard Class,CS-00699,PR-00298,1393.86,2,0.0,502.43,20.45,High
38,CA-2023-100022,2023-01-08,2023-01-10,Second Class,CS-00069,PR-00221,412.37,3,0.1,150.66,16.97,Low
39,CA-2023-100023,2023-01-08,2023-01-12,Second Class,CS-00446,PR-00155,575.54,7,0.0,267.27,15.25,Medium
40,CA-2023-100024,2023-01-08,2023-01-15,Standard Class,CS-00144,PR-00119,91.36,1,0.2,21.18,4.01,Low
41,CA-2023-100025,2023-01-08,2023-01-12,Second Class,CS-00800,PR-00292,707.52,3,0.0,324.1,21.35,Medium
42,CA-2023-100029,2023-01-09,2023-01-13,Standard Class,CS-00556,PR-00267,793.22,2,0.5,-364.41,17.41,High
43,CA-2023-100031,2023-01-09,2023-01-14,Standard Class,CS-00017,PR-00270,230.47,6,0.1,31.9,9.39,Critical
44,CA-2023-100031,2023-01-09,2023-01-14,Standard Class,CS-00017,PR-00264,1504.72,2,0.2,49.67,28.01,Critical
45,CA-2023-100031,2023-01-09,2023-01-14,Standard Class,CS-00017,PR-00204,532.96,4,0.2,159.1,15.14,Critical
46,CA-2023-100030,2023-01-09,2023-01-12,Standard Class,CS-00765,PR-00013,5563.4,10,0.0,1726.75,122.15,Medium
47,CA-2023-100028,2023-01-09,2023-01-09,Same Day,CS-00162,PR-00134,40.35,2,0.2,-12.54,15.85,Medium
48,CA-2023-100028,2023-01-09,2023-01-09,Same Day,CS-00162,PR-00037,113.6,1,0.1,29.59,17.13,Medium
49,CA-2023-100027,2023-01-09,2023-01-12,Second Class,CS-00054,PR-00294,21.26,4,0.5,-6.14,5.28,Medium
50,CA-2023-100027,2023-01-09,2023-01-12,Second Class,CS-00054,PR-00109,212.06,2,0.0,91.45,9.01,Medium
51,CA-2023-100027,2023-01-09,2023-01-12,Second Class,CS-00054,PR-00299,10.58,2,0.1,-1.97,5.31,Medium
52,CA-2023-100027,2023-01-09,2023-01-12,Second Class,CS-00054,PR-00151,382.41,6,0.3,95.05,9.26,Medium
53,CA-2023-100026,2023-01-09,2023-01-11,First Class,CS-00212,PR-00227,861.92,2,0.0,334.28,25.72,Critical
54,CA-2023-100026,2023-01-09,2023-01-11,First Class,CS-00212,PR-00087,1739.08,2,0.3,322.51,53.57,Critical
55,CA-2023-100035,2023-01-10,2023-01-12,First Class,CS-00730,PR-00070,659.85,1,0.0,238.17,23.92,Critical
56,CA-2023-100035,2023-01-10,2023-01-12,First Class,CS-00730,PR-00092,475.44,1,0.0,168.38,19.6,Critical
57,CA-2023-100034,2023-01-10,2023-01-16,Standard Class,CS-00492,PR-00209,6.93,1,0.0,0.62,2.62,Low
58,CA-2023-100036,2023-01-10,2023-01-10,Same Day,CS-00133,PR-00185,973.78,2,0.0,367.52,35.3,High
59,CA-2023-100033,2023-01-10,2023-01-13,Second Class,CS-00090,PR-00041,171.71,7,0.0,76.27,8.43,Medium
60,CA-2023-100032,2023-01-10,2023-01-13,Standard Class,CS-00001,PR-00125,733.3,5,0.0,319.89,11.61,Medium
61,CA-2023-100034,2023-01-10,2023-01-16,Standard Class,CS-00492,PR-00038,3715.97,8,0.2,1155.11,103.58,Low
62,CA-2023-100037,2023-01-11,2023-01-16,Standard Class,CS-00436,PR-00191,2000.61,3,0.0,659.83,38.6,High
63,CA-2023-100038,2023-01-11,2023-01-14,Standard Class,CS-00594,PR-00168,96.23,1,0.1,16.48,4.31,Medium
64,CA-2023-100039,2023-01-11,2023-01-15,Second Class,CS-00244,PR-00035,2999.05,6,0.1,1225.57,75.9,Medium
65,CA-2023-100039,2023-01-11,2023-01-15,Second Class,CS-00244,PR-00134,45.4,2,0.1,2.06,6.3,Medium
66,CA-2023-100039,2023-01-11,2023-01-15,Second Class,CS-00244,PR-00102,154.59,1,0.0,41.28,8.19,Medium
67,CA-2023-100039,2023-01-11,2023-01-15,Second Class,CS-00244,PR-00222,3.02,1,0.2,-4.67,5.08,Medium
68,CA-2023-100047,2023-01-12,2023-01-18,Standard Class,CS-00664,PR-00106,110.8,2,0.2,1.11,4.41,Medium
69,CA-2023-100049,2023-01-12,2023-01-18,Standard Class,CS-00210,PR-00202,1093.73,1,0.0,413.42,20.2,Medium
70,CA-2023-100049,2023-01-12,2023-01-18,Standard Class,CS-00210,PR-00059,128.25,2,0.1,43.31,5.2,Medium
71,CA-2023-100048,2023-01-12,2023-01-19,Standard Class,CS-00435,PR-00095,659.65,1,0.0,215.6,16.08,Low
72,CA-2023-100047,2023-01-12,2023-01-18,Standard Class,CS-00664,PR-00203,77.06,1,0.0,27.99,3.36,Medium
73,CA-2023-100047,2023-01-12,2023-01-18,Standard Class,CS-00664,PR-00012,263.16,2,0.1,81.77,10.11,Medium
74,CA-2023-100046,2023-01-12,2023-01-14,Second Class,CS-00370,PR-00065,37.25,1,0.2,-3.0,5.38,Low
75,CA-2023-100044,2023-01-12,2023-01-13,First Class,CS-00764,PR-00136,3129.2,5,0.0,949.39,51.66,Medium
76,CA-2023-100045,2023-01-12,2023-01-13,First Class,CS-00484,PR-00068,308.88,2,0.0,57.9,14.44,Medium
77,CA-2023-100044,2023-01-12,2023-01-13,First Class,CS-00764,PR-00110,2022.09,3,0.0,927.19,40.13,Medium
78,CA-2023-100043,2023-01-12,2023-01-15,Second Class,CS-00569,PR-00062,1779.6,3,0.0,548.56,24.26,Medium
79,CA-2023-100042,2023-01-12,2023-01-15,Standard Class,CS-00637,PR-00035,555.38,1,0.0,256.82,15.63,Medium
80,CA-2023-100041,2023-01-12,2023-01-14,First Class,CS-00749,PR-00043,234.17,3,0.1,51.36,11.81,Medium
81,CA-2023-100040,2023-01-12,2023-01-15,Second Class,CS-00770,PR-00075,98.1,1,0.0,36.34,6.37,Critical
82,CA-2023-100045,2023-01-12,2023-01-13,First Class,CS-00484,PR-00207,2535.34,4,0.1,538.41,50.85,Medium
83,CA-2023-100055,2023-01-13,2023-01-19,Standard Class,CS-00481,PR-00051,188.88,1,0.2,56.0,5.03,High
84,CA-2023-100055,2023-01-13,2023-01-19,Standard Class,CS-00481,PR-00299,42.34,8,0.1,9.82,3.56,High
85,CA-2023-100054,2023-01-13,2023-01-20,Standard Class,CS-00732,PR-00188,794.96,2,0.0,277.33,15.95,High
86,CA-2023-100054,2023-01-13,2023-01-20,Standard Class,CS-00732,PR-00167,172.47,1,0.0,60.21,6.61,High
87,CA-2023-100054,2023-01-13,2023-01-20,Standard Class,CS-00732,PR-00170,851.44,3,0.3,30.91,14.76,High
88,CA-2023-100051,2023-01-13,2023-01-20,Standard Class,CS-00671,PR-00267,1586.44,2,0.0,407.22,39.0,Medium
89,CA-2023-100052,2023-01-13,2023-01-15,Second Class,CS-00548,PR-00127,78.74,1,0.0,28.12,6.91,High
90,CA-2023-100051,2023-01-13,2023-01-20,Standard Class,CS-00671,PR-00184,273.72,3,0.0,125.47,6.59,Medium
91,CA-2023-100050,2023-01-13,2023-01-19,Standard Class,CS-00289,PR-00174,3626.72,4,0.0,1461.15,71.69,Medium
92,CA-2023-100050,2023-01-13,2023-01-19,Standard Class,CS-00289,PR-00244,71.95,1,0.3,3.68,3.81,Medium
93,CA-2023-100053,2023-01-13,2023-01-18,Standard Class,CS-00302,PR-00257,215.82,3,0.0,88.97,7.75,Medium
94,CA-2023-100061,2023-01-14,2023-01-15,First Class,CS-00173,PR-00114,280.68,3,0.0,89.89,13.91,Medium
95,CA-2023-100062,2023-01-14,2023-01-18,Second Class,CS-00612,PR-00038,522.56,1,0.1,202.66,12.74,Medium
96,CA-2023-100060,2023-01-14,2023-01-17,Second Class,CS-00323,PR-00144,10.8,2,0.1,-0.98,5.24,Medium
97,CA-2023-100058,2023-01-14,2023-01-19,Standard Class,CS-00390,PR-00276,106.09,2,0.1,30.52,5.61,High
98,CA-2023-100057,2023-01-14,2023-01-17,Second Class,CS-00606,PR-00068,555.98,4,0.1,62.43,20.47,High
99,CA-2023-100056,2023-01-14,2023-01-16,First Class,CS-00462,PR-00271,61.05,3,0.0,10.26,9.03,Medium
100,CA-2023-100059,2023-01-14,2023-01-21,Standard Class,CS-00524,PR-00122,21.44,2,0.0,6.12,2.76,Medium
101,CA-2023-100063,2023-01-15,2023-01-22,Standard Class,CS-00013,PR-00071,313.64,2,0.3,38.47,8.91,Medium
102,CA-2023-100064,2023-01-15,2023-01-20,Standard Class,CS-00014,PR-00228,416.25,3,0.0,160.87,8.0,High
103,CA-2023-100065,2023-01-15,2023-01-19,Second Class,CS-00670,PR-00231,1668.2,2,0.0,787.26,29.76,Medium
104,CA-2023-100065,2023-01-15,2023-01-19,Second Class,CS-00670,PR-00286,112.16,2,0.0,27.76,8.02,Medium
105,CA-2023-100074,2023-01-16,2023-01-22,Standard Class,CS-00337,PR-00043,86.73,1,0.0,25.05,4.68,Medium
106,CA-2023-100074,2023-01-16,2023-01-22,Standard Class,CS-00337,PR-00250,377.0,3,0.1,106.75,10.21,Medium
107,CA-2023-100074,2023-01-16,2023-01-22,Standard Class,CS-00337,PR-00077,89.71,2,0.1,31.35,4.5,Medium
108,CA-2023-100074,2023-01-16,2023-01-22,Standard Class,CS-00337,PR-00144,6.0,1,0.0,0.17,2.56,Medium
109,CA-2023-100072,2023-01-16,2023-01-19,Standard Class,CS-00182,PR-00057,48.04,1,0.0,17.74,3.0,High
110,CA-2023-100071,2023-01-16,2023-01-22,Standard Class,CS-00480,PR-00085,568.36,4,0.0,240.19,18.45,Medium
111,CA-2023-100070,2023-01-16,2023-01-19,Standard Class,CS-00422,PR-00292,235.84,1,0.0,109.28,5.87,Medium
112,CA-2023-100069,2023-01-16,2023-01-21,Standard Class,CS-00155,PR-00153,325.3,3,0.5,-143.4,7.06,Low
113,CA-2023-100073,2023-01-16,2023-01-18,First Class,CS-00054,PR-00091,712.44,3,0.0,303.58,27.17,High
114,CA-2023-100069,2023-01-16,2023-01-21,Standard Class,CS-00155,PR-00099,3008.23,8,0.1,967.34,50.09,Low
115,CA-2023-100068,2023-01-16,2023-01-17,First Class,CS-00598,PR-00198,262.06,3,0.1,39.66,15.61,High
116,CA-2023-100068,2023-01-16,2023-01-17,First Class,CS-00598,PR-00241,302.14,2,0.2,89.69,12.01,High
117,CA-2023-100067,2023-01-16,2023-01-23,Standard Class,CS-00515,PR-00139,2429.73,4,0.2,794.83,29.14,Medium
118,CA-2023-100067,2023-01-16,2023-01-23,Standard Class,CS-00515,PR-00294,63.78,6,0.0,27.18,3.42,Medium
119,CA-2023-100066,2023-01-16,2023-01-19,Standard Class,CS-00306,PR-00143,2285.15,5,0.3,175.2,49.3,Low
120,CA-2023-100066,2023-01-16,2023-01-19,Standard Class,CS-00306,PR-00150,723.14,1,0.2,226.73,11.24,Low
121,CA-2023-100066,2023-01-16,2023-01-19,Standard Class,CS-00306,PR-00133,323.07,3,0.0,139.51,8.33,Low
122,CA-2023-100069,2023-01-16,2023-01-21,Standard Class,CS-00155,PR-00063,117.23,1,0.0,27.27,4.65,Low
123,CA-2023-100075,2023-01-17,2023-01-18,First Class,CS-00642,PR-00204,499.65,3,0.0,207.63,22.98,Medium
124,CA-2023-100076,2023-01-17,2023-01-18,First Class,CS-00379,PR-00098,511.68,4,0.0,221.35,21.61,Medium
125,CA-2023-100077,2023-01-17,2023-01-21,Standard Class,CS-00576,PR-00125,146.66,1,0.0,60.64,5.66,Low
126,CA-2023-100083,2023-01-18,2023-01-18,Same Day,CS-00770,PR-00013,2225.36,4,0.0,666.34,73.22,Medium
127,CA-2023-100083,2023-01-18,2023-01-18,Same Day,CS-00770,PR-00047,379.87,1,0.2,48.17,22.12,Medium
128,CA-2023-100082,2023-01-18,2023-01-23,Standard Class,CS-00684,PR-00133,86.15,1,0.2,24.03,3.71,Medium
129,CA-2023-100081,2023-01-18,2023-01-22,Standard Class,CS-00075,PR-00025,3858.08,4,0.0,1553.56,70.2,Medium
130,CA-2023-100078,2023-01-18,2023-01-21,Second Class,CS-00704,PR-00284,447.12,1,0.2,119.13,15.41,Medium
131,CA-2023-100080,2023-01-18,2023-01-23,Standard Class,CS-00360,PR-00210,116.88,2,0.0,34.58,4.62,Medium
132,CA-2023-100079,2023-01-18,2023-01-20,First Class,CS-00322,PR-00019,75.9,1,0.3,-4.44,10.24,Low
133,CA-2023-100079,2023-01-18,2023-01-20,First Class,CS-00322,PR-00270,42.68,1,0.0,2.28,8.87,Low
134,CA-2023-100081,2023-01-18,2023-01-22,Standard Class,CS-00075,PR-00154,1098.79,4,0.1,386.72,31.39,Medium
135,CA-2023-100086,2023-01-19,2023-01-23,Standard Class,CS-00117,PR-00126,114.5,1,0.0,49.09,5.85,Medium
136,CA-2023-100084,2023-01-19,2023-01-23,Second Class,CS-00507,PR-00279,20.4,1,0.5,-12.15,5.27,High
137,CA-2023-100085,2023-01-19,2023-01-26,Standard Class,CS-00111,PR-00295,1673.6,4,0.0,749.88,45.6,Medium
138,CA-2023-100086,2023-01-19,2023-01-23,Standard Class,CS-00117,PR-00107,2110.13,3,0.1,649.75,46.78,Medium
139,CA-2023-100089,2023-01-20,2023-01-22,Second Class,CS-00209,PR-00046,2195.09,5,0.3,60.16,46.23,High
140,CA-2023-100088,2023-01-20,2023-01-20,Same Day,CS-00081,PR-00266,451.67,1,0.0,119.11,22.32,Medium
141,CA-2023-100087,2023-01-20,2023-01-24,Standard Class,CS-00643,PR-00252,722.98,1,0.1,106.61,12.08,Medium
142,CA-2023-100088,2023-01-20,2023-01-20,Same Day,CS-00081,PR-00048,513.01,7,0.1,102.47,23.58,Medium
143,CA-2023-100093,2023-01-21,2023-01-23,First Class,CS-00364,PR-00014,1053.45,1,0.2,347.81,21.51,High
144,CA-2023-100092,2023-01-21,2023-01-22,First Class,CS-00511,PR-00284,1676.7,3,0.0,685.51,53.45,Low
145,CA-2023-100091,2023-01-21,2023-01-27,Standard Class,CS-00656,PR-00052,508.66,1,0.3,22.55,10.45,High
146,CA-2023-100090,2023-01-21,2023-01-26,Standard Class,CS-00648,PR-00017,180.3,2,0.0,57.5,6.86,Medium
147,CA-2023-100090,2023-01-21,2023-01-26,Standard Class,CS-00648,PR-00058,437.25,5,0.0,102.06,11.99,Medium
148,CA-2023-100091,2023-01-21,2023-01-27,Standard Class,CS-00656,PR-00098,255.84,2,0.0,113.42,8.06,High
149,CA-2023-100094,2023-01-22,2023-01-27,Standard Class,CS-00209,PR-00058,183.64,3,0.3,-17.21,6.93,Medium
150,CA-2023-100095,2023-01-22,2023-01-25,Standard Class,CS-00377,PR-00103,1501.98,2,0.2,350.83,46.97,High
151,CA-2023-100095,2023-01-22,2023-01-25,Standard Class,CS-00377,PR-00049,171.94,2,0.1,42.92,4.38,High
152,CA-2023-100096,2023-01-22,2023-01-26,Second Class,CS-00487,PR-00128,202.41,1,0.0,65.97,9.73,High
153,CA-2023-100097,2023-01-23,2023-01-25,First Class,CS-00615,PR-00049,191.04,2,0.0,52.77,13.63,Medium
154,CA-2023-100098,2023-01-23,2023-01-23,Same Day,CS-00282,PR-00047,949.68,2,0.0,290.26,40.26,Medium
155,CA-2023-100099,2023-01-23,2023-01-27,Standard Class,CS-00235,PR-00038,2322.48,4,0.0,1051.05,42.79,Medium
156,CA-2023-100100,2023-01-23,2023-01-26,Standard Class,CS-00685,PR-00227,344.77,1,0.2,87.6,6.21,Medium
157,CA-2023-100107,2023-01-24,2023-01-26,Second Class,CS-00121,PR-00135,267.14,1,0.1,33.59,8.99,Low
158,CA-2023-100106,2023-01-24,2023-01-26,First Class,CS-00515,PR-00139,1822.3,3,0.2,578.82,39.16,Medium
159,CA-2023-100105,2023-01-24,2023-01-26,Second Class,CS-00143,PR-00236,284.94,3,0.0,58.06,11.39,Medium
160,CA-2023-100104,2023-01-24,2023-01-28,Standard Class,CS-00463,PR-00039,2933.01,3,0.0,1305.23,61.0,Medium
161,CA-2023-100103,2023-01-24,2023-01-25,First Class,CS-00207,PR-00183,1955.58,6,0.0,624.49,52.73,Critical
162,CA-2023-100106,2023-01-24,2023-01-26,First Class,CS-00515,PR-00059,57.0,1,0.2,8.0,9.13,Medium
163,CA-2023-100102,2023-01-24,2023-01-29,Standard Class,CS-00138,PR-00130,331.65,5,0.0,115.7,10.65,Critical
164,CA-2023-100102,2023-01-24,2023-01-29,Standard Class,CS-00138,PR-00292,943.36,4,0.0,441.59,19.01,Critical
165,CA-2023-100102,2023-01-24,2023-01-29,Standard Class,CS-00138,PR-00059,57.0,1,0.2,13.35,3.78,Critical
166,CA-2023-100101,2023-01-24,2023-01-26,First Class,CS-00152,PR-00291,183.18,3,0.0,56.12,12.52,Medium
167,CA-2023-100101,2023-01-24,2023-01-26,First Class,CS-00152,PR-00075,78.48,1,0.2,13.1,9.99,Medium
168,CA-2023-100102,2023-01-24,2023-01-29,Standard Class,CS-00138,PR-00098,767.52,6,0.0,342.49,21.95,Critical
169,CA-2023-100108,2023-01-25,2023-01-28,Standard Class,CS-00114,PR-00044,520.69,3,0.3,81.35,11.21,Medium
170,CA-2023-100108,2023-01-25,2023-01-28,Standard Class,CS-00114,PR-00299,14.11,3,0.2,0.48,2.77,Medium
171,CA-2023-100109,2023-01-25,2023-01-29,Standard Class,CS-00031,PR-00185,973.78,2,0.0,371.54,31.28,Critical
172,CA-2023-100110,2023-01-25,2023-01-25,Same Day,CS-00254,PR-00260,158.69,4,0.2,24.27,17.82,Medium
173,CA-2023-100115,2023-01-26,2023-01-29,Standard Class,CS-00444,PR-00028,22.76,4,0.0,4.32,3.16,Critical
174,CA-2023-100114,2023-01-26,2023-01-26,Same Day,CS-00011,PR-00093,335.04,1,0.0,140.81,20.86,Medium
175,CA-2023-100114,2023-01-26,2023-01-26,Same Day,CS-00011,PR-00237,15.48,2,0.1,-12.73,15.35,Medium
176,CA-2023-100113,2023-01-26,2023-01-30,Standard Class,CS-00681,PR-00190,4550.7,5,0.0,1506.35,121.95,Medium
177,CA-2023-100113,2023-01-26,2023-01-30,Standard Class,CS-00681,PR-00225,287.26,1,0.5,-23.03,8.58,Medium
178,CA-2023-100111,2023-01-26,2023-02-01,Standard Class,CS-00493,PR-00040,158.72,2,0.0,54.4,5.16,Medium
179,CA-2023-100112,2023-01-26,2023-01-30,Standard Class,CS-00687,PR-00246,54.8,1,0.1,19.9,3.67,Medium
180,CA-2023-100112,2023-01-26,2023-01-30,Standard Class,CS-00687,PR-00221,458.19,3,0.0,201.57,11.88,Medium
181,CA-2023-100111,2023-01-26,2023-02-01,Standard Class,CS-00493,PR-00264,2257.08,3,0.2,63.87,52.65,Medium
182,CA-2023-100113,2023-01-26,2023-01-30,Standard Class,CS-00681,PR-00030,126.97,1,0.0,51.2,5.07,Medium
183,CA-2023-100121,2023-01-27,2023-02-03,Standard Class,CS-00352,PR-00155,115.11,2,0.3,26.84,4.55,Medium
184,CA-2023-100120,2023-01-27,2023-01-31,Standard Class,CS-00590,PR-00138,1503.98,3,0.3,275.89,44.56,Medium
185,CA-2023-100122,2023-01-27,2023-01-28,First Class,CS-00333,PR-00128,404.82,2,0.0,133.84,17.56,Medium
186,CA-2023-100119,2023-01-27,2023-01-27,Same Day,CS-00276,PR-00167,344.94,2,0.0,114.49,19.15,Medium
187,CA-2023-100122,2023-01-27,2023-01-28,First Class,CS-00333,PR-00115,117.36,1,0.0,25.14,10.86,Medium
188,CA-2023-100122,2023-01-27,2023-01-28,First Class,CS-00333,PR-00069,109.17,1,0.0,19.52,9.32,Medium
189,CA-2023-100123,2023-01-27,2023-01-29,First Class,CS-00258,PR-00146,2152.84,2,0.0,860.74,33.76,Medium
190,CA-2023-100122,2023-01-27,2023-01-28,First Class,CS-00333,PR-00134,151.32,6,0.0,30.09,10.11,Medium
191,CA-2023-100118,2023-01-27,2023-01-29,First Class,CS-00549,PR-00177,745.78,1,0.0,243.2,29.67,Critical
192,CA-2023-100117,2023-01-27,2023-02-02,Standard Class,CS-00739,PR-00229,1387.15,6,0.1,175.39,35.76,High
193,CA-2023-100118,2023-01-27,2023-01-29,First Class,CS-00549,PR-00232,139.36,2,0.3,-15.42,9.8,Critical
194,CA-2023-100117,2023-01-27,2023-02-02,Standard Class,CS-00739,PR-00011,105.18,2,0.2,7.59,5.17,High
195,CA-2023-100117,2023-01-27,2023-02-02,Standard Class,CS-00739,PR-00129,190.53,1,0.2,7.53,7.09,High
196,CA-2023-100117,2023-01-27,2023-02-02,Standard Class,CS-00739,PR-00255,565.68,1,0.0,187.74,16.65,High
197,CA-2023-100117,2023-01-27,2023-02-02,Standard Class,CS-00739,PR-00171,675.6,3,0.0,228.99,10.38,High
198,CA-2023-100117,2023-01-27,2023-02-02,Standard Class,CS-00739,PR-00014,2633.62,2,0.0,1210.5,54.86,High
199,CA-2023-100116,2023-01-27,2023-01-30,Standard Class,CS-00785,PR-00120,396.25,1,0.0,90.23,8.47,Critical
200,CA-2023-100116,2023-01-27,2023-01-30,Standard Class,CS-00785,PR-00178,1061.88,3,0.0,380.24,26.53,Critical
201,CA-2023-100127,2023-01-28,2023-02-04,Standard Class,CS-00626,PR-00030,228.55,2,0.1,81.2,5.95,Medium
202,CA-2023-100126,2023-01-28,2023-01-31,Second Class,CS-00075,PR-00272,25.68,3,0.0,0.87,5.46,Low
203,CA-2023-100126,2023-01-28,2023-01-31,Second Class,CS-00075,PR-00096,15.3,4,0.2,-2.75,5.37,Low
204,CA-2023-100125,2023-01-28,2023-02-03,Standard Class,CS-00364,PR-00030,190.46,3,0.5,-26.56,4.92,Medium
205,CA-2023-100124,2023-01-28,2023-01-30,Second Class,CS-00510,PR-00051,236.1,1,0.0,96.77,11.48,High
206,CA-2023-100124,2023-01-28,2023-01-30,Second Class,CS-00510,PR-00058,87.45,1,0.0,16.7,6.11,High
207,CA-2023-100136,2023-01-29,2023-02-04,Standard Class,CS-00510,PR-00193,58.91,2,0.1,5.27,3.3,High
208,CA-2023-100135,2023-01-29,2023-02-03,Standard Class,CS-00385,PR-00121,1317.44,3,0.1,173.31,21.32,Medium
209,CA-2023-100135,2023-01-29,2023-02-03,Standard Class,CS-00385,PR-00006,287.76,4,0.0,132.93,6.79,Medium
210,CA-2023-100135,2023-01-29,2023-02-03,Standard Class,CS-00385,PR-00138,716.18,1,0.0,301.72,19.95,Medium
211,CA-2023-100134,2023-01-29,2023-01-31,Second Class,CS-00001,PR-00235,746.58,1,0.2,169.91,25.4,Medium
212,CA-2023-100134,2023-01-29,2023-01-31,Second Class,CS-00001,PR-00135,1484.1,5,0.0,330.03,31.27,Medium
213,CA-2023-100133,2023-01-29,2023-02-01,Second Class,CS-00015,PR-00192,65.29,3,0.3,-5.41,6.5,Medium
214,CA-2023-100131,2023-01-29,2023-02-01,Second Class,CS-00298,PR-00076,1140.11,1,0.0,500.82,27.5,Medium
215,CA-2023-100132,2023-01-29,2023-02-02,Standard Class,CS-00443,PR-00298,1672.63,3,0.2,332.44,33.72,Medium
